# Title
Software Weavers	Tisserands du Net
##################
# Page: About us #
##################
About us	À propos
Our values	Nos valeurs
Development & Technical Consulting	Développement Informatique
Quality Assurance & Customer Relations	Assurance Qualité Logicielle
You want to work with us?	Vous souhaitez travailler avec nous?
Check out our services:	Découvrez nos services:
Our Services	Nos services

We share one essential value: understanding. For us, everything starts there. Truly grasping a need, a context, a person — that’s what allows us to build solutions that are meaningful, relevant, and sustainable.	Nous partageons une valeur essentielle : la compréhension. Pour nous, tout part de là. Comprendre en profondeur un besoin, un contexte, une personne — c’est ce qui nous permet de construire des solutions justes, pertinentes, durables.

One of us approaches this as a rational obsession: if the solution doesn’t fit, it means something is still unclear — and he won’t stop until he gets it right. The other brings a more intuitive, human dimension, with genuine attentiveness and active kindness that turn every exchange into a space for co-creation. Together, we strike a balance between precision and empathy, between high standards and real connection.	 L’un de nous vit cette quête comme une obsession rationnelle : tant que la réponse n’est pas adaptée, c’est que quelque chose lui échappe, et il ne lâchera pas tant qu’il n’aura pas trouvé le bon angle. L’autre apporte une dimension plus intuitive et humaine, avec une attention sincère à l’autre, une bienveillance active qui fait de chaque échange un terrain de co-construction. Ensemble, nous cultivons un équilibre entre exigence et écoute, entre rigueur et empathie.

I've been a developer for 6 years. I started out in an agency, mainly working on Prestashop, while also developing custom tools. I then continued my career at software publishers, focusing on accounting and payment solutions. Finally, before co-founding our agency, I was the technical founder at PrettyData, where I designed and deployed the entire platform. What I enjoy most about my job is understanding a domain, translating it into software, and providing value to users.	Développeur depuis 6 ans, j’ai débuté en agence, principalement sur Prestashop, en développant aussi des outils sur-mesure. J’ai poursuivi ma carrière chez des éditeur de logiciels, de comptabilité et de paiement. Enfin avant de co-fonder notre agence, j’ai été fondateur technique chez PrettyData, où j’ai conçu et mis en production l’ensemble de la plateforme. C'est ce qui me plaît dans mon métier : comprendre un domaine, le traduire en logiciel, et rendre service aux usagers.

I’ve worked at several companies that aimed to follow horizontal management models. In practice, I often noticed a gap between the rhetoric and the actual way things operated. These experiences led me to reflect on organizational models: above all, I prioritize transparency, clarity in responsibilities, and, of course, competence.	J’ai travaillé dans plusieurs entreprises qui se revendiquaient de modèles de management horizontaux, avec des principes comme la "candeur radicale". En pratique, j’y ai souvent constaté un décalage entre le discours et le fonctionnement réel. Ces expériences m’ont amené à réfléchir aux modes d’organisation : je privilégie avant tout la transparence, la clarté dans les responsabilités, et bien sûr la compétence.

I'm the type who notices the small things others miss — what's off or what's lacking — not out of habit, but because it matters to me. Whether it's a line of code or a conversation with a client, I believe the details make the difference. I've nurtured this attention over time, probably fed by my passion for the arts: watercolour, bookmaking, saxophone, theatre… crafts where you can't fake it and every move counts. Today, I bring that same level of care to the quality of our work and our client relationships.	Je suis du genre à remarquer les petits trucs que d'autres ne voient pas, à repérer ce qui cloche ou ce qui manque — pas par manie, mais parce que j'y tiens. Que ce soit dans une ligne de code ou dans un échange avec un client, pour moi, les détails font la différence. Cette attention, je la cultive depuis longtemps, sans doute nourrie par ma passion pour les arts : aquarelle, création de livres, saxophone, théâtre… Des pratiques où on ne peut pas tricher, où chaque geste compte. Aujourd'hui, je mets cette exigence au service de la qualité de nos livrables, et du lien avec nos clients. Pour que les choses soient bien faites, et bien vécues.

Trained in development, automated testing, and quality assurance methods, I work both on the technical side and in client relations. I listen, clarify, and ensure that needs are understood, expectations are realistic, and feedback is properly taken into account.	Formée au développement, aux tests automatisés et aux méthodes d’assurance qualité, j’interviens aussi bien côté technique que dans la relation client. J’écoute, je clarifie, je veille à ce que les besoins soient compris, les attentes réalistes, et les retours bien pris en compte.

All of this is driven by my sharp attention to detail, which I’ve likely developed through my other pursuits — watercolour, bookmaking, saxophone, theatre — where a single gesture can make all the difference. I now apply that same care to quality: testing, strategy, checks… everything that ensures what we deliver works and holds up.	Tout cela est nourri par mon souci aigu du détail, que j'ai sans doute cultivé dans mes autres pratiques — aquarelle, création de livres, saxophone, théâtre — où un geste fait toute la différence, et je le mets aujourd'hui au service de la qualité : tests, stratégie, vérifications… tout ce qui garantit que ce qu’on livre fonctionne et tient la route.


####################
# Page: Contact us #
####################
Contact us	Contactez-nous
We'd love to hear from you!	Nous avons hâte d'échanger avec vous !
Contact Information	Informations de contact
weavers.software@gmail.com	contact@tisserands-du-net.fr
+359 87 947 3758	+33 7 67 71 55 36
+359 87 833 1171	+33 6 23 30 91 21

######################
# Page: Legal Notice #
######################
Legal Notice	Mentions Légales
Website Owner	Propriétaire du site
Bulgaria	Bulgarie
Contact	Contact
Email	Courriel
Phone	Téléphone
Disclaimer	Déclaration
This website provides general information. While we aim to keep the information up to date, we make no warranties of any kind about its completeness or accuracy.	Ce site web fournit des informations générales. Bien que nous nous efforcions d'assurer l'exactitude et la mise à jour du contenu, nous ne garantissons pas sa complétude ni sa conformité.


########################
# Page: Privacy Policy #
########################
Privacy & Cookies Policy	Politique de Confidentialité
We do not collect any personal data from visitors to this website.	Nous ne collectons aucune donnée personnelle des visiteurs de ce site web.
We do not use cookies, analytics, or tracking technologies.	Nous n'utilisons pas de cookies, ni d'outils d'analytics ou de tracking.
Server logs may record basic technical information (such as IP address, browser type, and time of visit) for security and maintenance purposes. This data is not used to identify users and is not shared.	Les journaux du serveur peuvent enregistrer des informations techniques de base (telles que l'adresse IP, le type de navigateur et l'heure de la visite) à des fins de sécurité et de maintenance. Ces données ne sont pas utilisées pour identifier les utilisateurs et ne sont pas partagées.
If this changes in the future, this policy will be updated accordingly.	Si cela venait à changer à l'avenir, cette politique sera mise à jour en conséquence.
